学年,学期,教学班,课程号,课程名称,开课学院,计划学院,学分,课程性质,课程类别名称,开课类型,年级,专业,成绩录入老师,职称,上课人数,理论,上机,实验,实践,周日,周一,周二,周三,周四,周五,周六,选课备注,其他教师,教材名称,出版社
2025-2026,2,(2025-2026-2)-1300420011017-01,1300420011017,电力市场与需求侧管理,电气与自动化学院,电气与自动化学院,2.0,专业教育选修,专业课程,专业教育课程,2023,电气工程及其自动化（卓越工程师）,崔雪,副教授,150\0,32,,,,,"1-11周11-13节2区5-313(210,多媒体)",,,,,,,,电力市场-云南电力市场建设经验与探索,中国电力 出版社
2025-2026,2,(2025-2026-2)-1300420011017-01,1300420011017,电力市场与需求侧管理,电气与自动化学院,电气与自动化学院,2.0,专业教育选修,专业课程,专业教育课程,2023,储能科学与工程,崔雪,副教授,150\0,32,,,,,"1-11周11-13节2区5-313(210,多媒体)",,,,,,,,电力市场-云南电力市场建设经验与探索,中国电力 出版社
2025-2026,2,(2025-2026-2)-3000420011103-02,3000420011103,电子技术基础(下）,电气与自动化学院,电气与自动化学院,2.5,专业教育必修,专业课程,专业教育课程,2024,电气工程及其自动化,张慧,教授,90\0,40,,,,,,"1-8周1-2节2区A410(120,多媒体)",,"1-8周6-8节2区A310(120,多媒体)",,,,,电子技术基础数字部分,高等教育出版社
2025-2026,2,(2025-2026-2)-3000420011103-03,3000420011103,电子技术基础(下）,电气与自动化学院,电气与自动化学院,2.5,专业教育必修,专业课程,专业教育课程,2024,电气工程及其自动化,郭俊华,讲师,90\0,40,,,,,,"1-8周1-2节2区5-311(104,多媒体)",,"1-8周6-8节2区A309(120,多媒体)",,,,,电子技术基础数字部分,高等教育出版社
2025-2026,2,(2025-2026-2)-3000420011103-04,3000420011103,电子技术基础(下）,电气与自动化学院,电气与自动化学院,2.5,专业教育必修,专业课程,专业教育课程,2024,电气工程及其自动化,张志毅,副教授,90\0,40,,,,,,"1-8周1-2节2区5-401(120,多媒体)",,"1-8周6-8节2区5-311(104,多媒体)",,,,,电子技术基础数字部分,高等教育出版社
2025-2026,2,(2025-2026-2)-3000420011103-06,3000420011103,电子技术基础(下）,电气与自动化学院,电气与自动化学院,2.5,专业教育必修,专业课程,专业教育课程,2024,电气工程及其自动化（卓越工程师）,杨玲君,讲师,75\0,40,,,,,"1-8周3-5节2区A507(78,多媒体)",,,"1-8周8-9节2区A507(78,多媒体)",,,,,电子技术基础数字部分,高等教育出版社
2025-2026,2,(2025-2026-2)-3000420011103-06,3000420011103,电子技术基础(下）,电气与自动化学院,机器人学院,2.5,专业教育必修,专业课程,专业教育课程,2024,自动化（机器人学院）,杨玲君,讲师,75\0,40,,,,,"1-8周3-5节2区A507(78,多媒体)",,,"1-8周8-9节2区A507(78,多媒体)",,,,,电子技术基础数字部分,高等教育出版社
2025-2026,2,(2025-2026-2)-3000420011103-07,3000420011103,电子技术基础(下）,电气与自动化学院,电气与自动化学院,2.5,专业教育必修,专业课程,专业教育课程,2024,智能电气试验班（本研）,张志毅,副教授,75\0,40,,,,,,"1-8周6-7节2区A509(80,多媒体)",,,"1-8周3-5节2区A509(80,多媒体)",,,,电子技术基础数字部分,高等教育出版社
2025-2026,2,(2025-2026-2)-3150420011132-01,3150420011132,电机与电力拖动实验,电气与自动化学院,电气与自动化学院,1.0,专业教育必修,专业课程,专业教育课程,2024,智能电气试验班（本研）,徐东辉,高级工程师,75\0,,,24,,,,,,,,,,王维,电机实验,四川大学出版社
2025-2026,2,(2025-2026-2)-3000420011110-04,3000420011110,电机学（上）,电气与自动化学院,电气与自动化学院,2.5,专业教育必修,专业课程,专业教育课程,2024,电气工程及其自动化,廖清芬,副教授,80\0,40,,,,,"4-13周6-7节2区A503(80,多媒体)",,"4-13周1-2节2区A309(120,多媒体)",,,,,,电机学,华中科技大学出版社
2025-2026,2,(2025-2026-2)-3140420011003-03,3140420011003,微机原理与接口技术,电气与自动化学院,电气与自动化学院,2.0,专业教育必修,专业课程,专业教育课程,2024,电气工程及其自动化,刘志雄,副教授,75\0,32,,,,,"9-16周8-9节2区A606(78,多媒体)",,,,"9-16周8-9节2区A606(78,多媒体)",,,,微型计算机原理与接口技术,清华大学出版社
2025-2026,2,(2025-2026-2)-3140420011003-05,3140420011003,微机原理与接口技术,电气与自动化学院,电气与自动化学院,2.0,专业教育必修,专业课程,专业教育课程,2024,电气工程及其自动化,宋斌,副教授,75\0,32,,,,,"9-16周6-7节2区A606(78,多媒体)",,,,"9-16周1-2节2区A606(78,多媒体)",,,,微型计算机原理与接口技术,  清华大学出版社
2025-2026,2,(2025-2026-2)-3140420011003-06,3140420011003,微机原理与接口技术,电气与自动化学院,电气与自动化学院,2.0,专业教育必修,专业课程,专业教育课程,2024,电气工程及其自动化,曹玉胜,讲师,75\0,32,,,,,,,"9-16周1-2节2区A504(78,多媒体)",,"9-16周1-2节2区A504(78,多媒体)",,,,微型计算机原理与接口技术,  清华大学出版社
2025-2026,2,(2025-2026-2)-3000420011005-07,3000420011005,科研训练（一）,电气与自动化学院,电气与自动化学院,1.5,专业教育必修,创新创业课程,专业教育课程,2025,工科试验班（智能电气创新班）,杨军,教授,40\38,,,,36,,,,"2-10周8-9节2区A301(40,多媒体)",,"2-10周11-12节2区A301(40,多媒体)",,,"RASHED,GHAMGEEN IZAT RASHED",信息素养与科研训练,东南大学出版社
2025-2026,2,(2025-2026-2)-3140420011029-02,3140420011029,电子综合实验（2）,电气与自动化学院,电气与自动化学院,1.0,专业教育必修,大类平台,专业教育课程,2024,电气工程及其自动化（卓越工程师）,司马莉萍,高级实验师,45\0,,,24,,,,,,,,,,"杨玲君,周军荣,夏俊峰",电子技术基础实验（第4版）——电子电路实验、设计及现代EDA技术,高等教育出版社
2025-2026,2,(2025-2026-2)-3140420011030-12,3140420011030,电路原理A1,电气与自动化学院,土木建筑工程学院,3.0,专业教育必修,大类平台,专业教育课程,2025,工科试验班（数智建维与软件类）,李泉新,,50\0,48,,,,,,,"1-12周11-12节2区A312(63,多媒体)",,"1-12周6-7节2区A312(63,多媒体)",,,,电路（上）,武汉大学出版社
2025-2026,2,(2025-2026-2)-3140420011030-12,3140420011030,电路原理A1,电气与自动化学院,土木建筑工程学院,3.0,专业教育必修,大类平台,专业教育课程,2025,工科试验班（数智力学与工程创新班）,李泉新,,50\0,48,,,,,,,"1-12周11-12节2区A312(63,多媒体)",,"1-12周6-7节2区A312(63,多媒体)",,,,电路（上）,武汉大学出版社
2025-2026,2,(2025-2026-2)-3140420011107-01,3140420011107,自动控制原理实验I,电气与自动化学院,电气与自动化学院,0.5,专业教育必修,大类平台,专业教育课程,2024,电气工程及其自动化,樊友平,教授,61\0,,,12,,,,,,,,,,司马莉萍,自动控制理论综合实验教程,中国电力出版社有限公司
2025-2026,2,(2025-2026-2)-3000420011103-05,3000420011103,电子技术基础(下）,电气与自动化学院,电气与自动化学院,2.5,专业教育必修,专业课程,专业教育课程,2024,电气工程及其自动化,刘晓莉,副教授,90\0,40,,,,,"1-8周3-4节2区6-301(210,多媒体)",,,"1-8周11-13节2区5-401(120,多媒体)",,,,,电子技术基础数字部分,高等教育出版社
2025-2026,2,(2025-2026-2)-3000420011128-05,3000420011128,电力电子装置及系统设计,电气与自动化学院,电气与自动化学院,1.5,专业教育必修,专业课程,专业教育课程,2023,电气工程及其自动化（卓越工程师）,查晓明,教授,30\0,24,,,,,,"9-14周3-4节2区A108(40,多媒体)",,"9-14周6-7节2区A108(40,多媒体)",,,,刘浴霜,电力电子装置及系统,机械工业出版社
2025-2026,2,(2025-2026-2)-3000420011005-02,3000420011005,科研训练（一）,电气与自动化学院,电气与自动化学院,1.5,专业教育必修,创新创业课程,专业教育课程,2025,工科试验班（电气）,司马莉萍,高级实验师,80\80,,,,36,,"2-10周11-12节2区A508(80,多媒体)",,"2-10周8-9节2区A508(80,多媒体)",,,,,王维,信息素养与科研训练,东南大学出版社
2025-2026,2,(2025-2026-2)-3140420011030-01,3140420011030,电路原理A1,电气与自动化学院,动力与机械学院,3.0,专业教育必修,大类平台,专业教育课程,2025,工科试验班（智慧能源与智能制造类）,谭甜源,副教授,110\0,48,,,,,"1-12周1-2节2区5-103(210,多媒体)",,,,"1-12周6-7节2区5-009(221,多媒体)",,,,电路（上）,武汉大学出版社
2025-2026,2,(2025-2026-2)-3140420011030-01,3140420011030,电路原理A1,电气与自动化学院,动力与机械学院,3.0,专业教育必修,大类平台,专业教育课程,2025,工科试验班（机器人与智能机械试验班）,谭甜源,副教授,110\0,48,,,,,"1-12周1-2节2区5-103(210,多媒体)",,,,"1-12周6-7节2区5-009(221,多媒体)",,,,电路（上）,武汉大学出版社
2025-2026,2,(2025-2026-2)-3140420011030-01,3140420011030,电路原理A1,电气与自动化学院,动力与机械学院,3.0,专业教育必修,大类平台,专业教育课程,2025,工科试验班（智慧能源创新班）,谭甜源,副教授,110\0,48,,,,,"1-12周1-2节2区5-103(210,多媒体)",,,,"1-12周6-7节2区5-009(221,多媒体)",,,,电路（上）,武汉大学出版社
2025-2026,2,(2025-2026-2)-3000420011005-04,3000420011005,科研训练（一）,电气与自动化学院,电气与自动化学院,1.5,专业教育必修,创新创业课程,专业教育课程,2025,工科试验班（电气）,赵洁,副教授,75\74,,,,36,,"2-10周11-12节2区A504(78,多媒体)",,,"2-10周8-9节2区A504(78,多媒体)",,,,郑宇,信息素养与科研训练,东南大学出版社
2025-2026,2,(2025-2026-2)-3000420011005-05,3000420011005,科研训练（一）,电气与自动化学院,电气与自动化学院,1.5,专业教育必修,创新创业课程,专业教育课程,2025,工科试验班（电气）,乔卉,讲师,80\70,,,,36,,"2-10周1-2节2区A509(80,多媒体)",,"2-10周3-4节2区5-313(210,多媒体)",,,,,唐飞,信息素养与科研训练,东南大学出版社
2025-2026,2,(2025-2026-2)-3000420011005-06,3000420011005,科研训练（一）,电气与自动化学院,电气与自动化学院,1.5,专业教育必修,创新创业课程,专业教育课程,2025,工科试验班（电气）,"RASHED,GHAMGEEN IZAT RASHED",副教授,75\75,,,,36,,,"2-10周1-2节2区A606(78,多媒体)","2-10周3-4节2区A606(78,多媒体)",,,,,,信息素养与科研训练,东南大学出版社
2025-2026,2,(2025-2026-2)-3000420011006-01,3000420011006,科研训练（二）,电气与自动化学院,电气与自动化学院,0.5,专业教育必修,创新创业课程,专业教育课程,2023,电气工程及其自动化,乔卉,讲师,398\398,,,,12,,,,,,,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3000420011006-01,3000420011006,科研训练（二）,电气与自动化学院,电气与自动化学院,0.5,专业教育必修,创新创业课程,专业教育课程,2023,电气工程及其自动化（卓越工程师）,乔卉,讲师,398\398,,,,12,,,,,,,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3000420011006-01,3000420011006,科研训练（二）,电气与自动化学院,电气与自动化学院,0.5,专业教育必修,创新创业课程,专业教育课程,2023,储能科学与工程,乔卉,讲师,398\398,,,,12,,,,,,,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3000420011006-01,3000420011006,科研训练（二）,电气与自动化学院,电气与自动化学院,0.5,专业教育必修,创新创业课程,专业教育课程,2023,智能电气试验班（本研）,乔卉,讲师,398\398,,,,12,,,,,,,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3140420011029-03,3140420011029,电子综合实验（2）,电气与自动化学院,电气与自动化学院,1.0,专业教育必修,大类平台,专业教育课程,2024,智能电气试验班（本研）,司马莉萍,高级实验师,70\0,,,24,,,,,,,,,,"杨玲君,周军荣,夏俊峰",电子技术基础实验（第4版）——电子电路实验、设计及现代EDA技术,高等教育出版社
2025-2026,2,(2025-2026-2)-3140420011107-03,3140420011107,自动控制原理实验I,电气与自动化学院,电气与自动化学院,0.5,专业教育必修,大类平台,专业教育课程,2024,电气工程及其自动化,田震,副教授,62\0,,,12,,,,,,,,,,司马莉萍,自动控制理论综合实验教程,中国电力出版社有限公司
2025-2026,2,(2025-2026-2)-3140420011107-04,3140420011107,自动控制原理实验I,电气与自动化学院,电气与自动化学院,0.5,专业教育必修,大类平台,专业教育课程,2024,电气工程及其自动化,胡志坚,教授,62\0,,,12,,,,,,,,,,司马莉萍,自动控制理论综合实验教程,中国电力出版社有限公司
2025-2026,2,(2025-2026-2)-3140420011107-06,3140420011107,自动控制原理实验I,电气与自动化学院,电气与自动化学院,0.5,专业教育必修,大类平台,专业教育课程,2024,电气工程及其自动化,路晓庆,教授,61\0,,,12,,,,,,,,,,司马莉萍,自动控制理论综合实验教程,中国电力出版社有限公司
2025-2026,2,(2025-2026-2)-3140420011107-08,3140420011107,自动控制原理实验I,电气与自动化学院,电气与自动化学院,0.5,专业教育必修,大类平台,专业教育课程,2024,智能电气试验班（本研）,胡志坚,教授,71\0,,,12,,,,,,,,,,司马莉萍,自动控制理论综合实验教程,中国电力出版社有限公司
2025-2026,2,(2025-2026-2)-3000420011108-01,3000420011108,自动控制原理A,电气与自动化学院,电气与自动化学院,2.5,专业教育必修,专业课程,专业教育课程,2024,智能电气试验班（本研）,胡志坚,教授,68\0,40,,,,,"1-8周11-13节2区A507(78,多媒体)",,,"1-8周11-12节2区A507(78,多媒体)",,,,田震,自动控制原理,科学出版社 
2025-2026,2,(2025-2026-2)-3350420011151-02,3350420011151,自动控制原理,电气与自动化学院,电气与自动化学院,2.5,专业教育必修,专业课程,专业教育课程,2024,电气工程及其自动化,田震,副教授,75\0,40,,,,,,,,"1-8周1-2节2区A606(78,多媒体)","1-8周3-5节2区A606(78,多媒体)",,,,自动控制原理,科学出版社 
2025-2026,2,(2025-2026-2)-3000420011019-01,3000420011019,电路实验（下）,电气与自动化学院,电气与自动化学院,0.5,专业教育必修,大类平台,专业教育课程,2024,电气工程及其自动化,孔峰,讲师,420\0,,,12,,,,,,,,,,"夏俊峰,李红玲,李玲",电路原理实验,武汉大学出版社
2025-2026,2,(2025-2026-2)-3000420011019-02,3000420011019,电路实验（下）,电气与自动化学院,电气与自动化学院,0.5,专业教育必修,大类平台,专业教育课程,2024,电气工程及其自动化（卓越工程师）,孔峰,讲师,45\0,,,12,,,,,,,,,,"夏俊峰,李红玲,李玲",电路原理实验,武汉大学出版社
2025-2026,2,(2025-2026-2)-3000420011019-03,3000420011019,电路实验（下）,电气与自动化学院,电气与自动化学院,0.5,专业教育必修,大类平台,专业教育课程,2024,储能科学与工程,孔峰,讲师,5\0,,,12,,,,,,,,,,"夏俊峰,李红玲,李玲",电路原理实验,武汉大学出版社
2025-2026,2,(2025-2026-2)-3000420011019-04,3000420011019,电路实验（下）,电气与自动化学院,电气与自动化学院,0.5,专业教育必修,大类平台,专业教育课程,2024,智能电气试验班（本研）,孔峰,讲师,70\0,,,12,,,,,,,,,,"夏俊峰,李红玲,李玲",电路原理实验,武汉大学出版社
2025-2026,2,(2025-2026-2)-3000420011019-05,3000420011019,电路实验（下）,电气与自动化学院,机器人学院,0.5,专业教育必修,大类平台,专业教育课程,2024,自动化（机器人学院）,孔峰,讲师,25\0,,,12,,,,,,,,,,"夏俊峰,李红玲,李玲",电路原理实验,武汉大学出版社
2025-2026,2,(2025-2026-2)-3140420011030-03,3140420011030,电路原理A1,电气与自动化学院,动力与机械学院,3.0,专业教育必修,大类平台,专业教育课程,2025,工科试验班（智慧能源与智能制造类）,王静,讲师,110\0,48,,,,,"1-12周1-2节2区5-203(210,多媒体)",,,,"1-12周6-7节2区5-203(210,多媒体)",,,,电路（上）,武汉大学出版社
2025-2026,2,(2025-2026-2)-3140420011030-03,3140420011030,电路原理A1,电气与自动化学院,动力与机械学院,3.0,专业教育必修,大类平台,专业教育课程,2025,工科试验班（机器人与智能机械试验班）,王静,讲师,110\0,48,,,,,"1-12周1-2节2区5-203(210,多媒体)",,,,"1-12周6-7节2区5-203(210,多媒体)",,,,电路（上）,武汉大学出版社
2025-2026,2,(2025-2026-2)-3140420011030-03,3140420011030,电路原理A1,电气与自动化学院,动力与机械学院,3.0,专业教育必修,大类平台,专业教育课程,2025,工科试验班（智慧能源创新班）,王静,讲师,110\0,48,,,,,"1-12周1-2节2区5-203(210,多媒体)",,,,"1-12周6-7节2区5-203(210,多媒体)",,,,电路（上）,武汉大学出版社
2025-2026,2,(2025-2026-2)-3350420011151-01,3350420011151,自动控制原理,电气与自动化学院,电气与自动化学院,2.5,专业教育必修,专业课程,专业教育课程,2024,电气工程及其自动化,黎雄,副教授,75\0,40,,,,,,,"1-8周1-2节2区A507(78,多媒体)",,"1-8周3-5节2区A406(84,多媒体)",,,,自动控制原理,科学出版社 
2025-2026,2,(2025-2026-2)-3350420011151-07,3350420011151,自动控制原理,电气与自动化学院,电气与自动化学院,2.5,专业教育必修,专业课程,专业教育课程,2024,电气工程及其自动化（卓越工程师）,樊友平,教授,50\0,40,,,,,,"1-8周11-13节2区A407(63,多媒体)",,"1-8周6-7节2区A407(63,多媒体)",,,,,自动控制原理,科学出版社 
2025-2026,2,(2025-2026-2)-3350420011151-07,3350420011151,自动控制原理,电气与自动化学院,电气与自动化学院,2.5,专业教育必修,专业课程,专业教育课程,2024,储能科学与工程,樊友平,教授,50\0,40,,,,,,"1-8周11-13节2区A407(63,多媒体)",,"1-8周6-7节2区A407(63,多媒体)",,,,,自动控制原理,科学出版社 
2025-2026,2,(2025-2026-2)-3140420011013-02,3140420011013,电气工程基础（下）,电气与自动化学院,电气与自动化学院,2.0,专业教育必修,专业课程,专业教育课程,2023,电气工程及其自动化,赵洁,副教授,56\0,32,,,,,,"1-8周1-2节2区A102(58,多媒体)",,,"1-8周8-9节2区A102(58,多媒体)",,,,电气工程基础（第四版）下册,中国电力出版社
2025-2026,2,(2025-2026-2)-3140420011030-04,3140420011030,电路原理A1,电气与自动化学院,水利水电学院,3.0,专业教育必修,大类平台,专业教育课程,2025,水文与水资源工程（碳中和试验班）,王羽,教授,120\103,48,,,,,"1-12周1-2节2区5-213(210,多媒体)",,,,"1-12周9-10节2区5-213(210,多媒体)",,,鲁海亮,电路（上）,武汉大学出版社
2025-2026,2,(2025-2026-2)-3140420011030-04,3140420011030,电路原理A1,电气与自动化学院,水利水电学院,3.0,专业教育必修,大类平台,专业教育课程,2025,工科试验班（水利）,王羽,教授,120\103,48,,,,,"1-12周1-2节2区5-213(210,多媒体)",,,,"1-12周9-10节2区5-213(210,多媒体)",,,鲁海亮,电路（上）,武汉大学出版社
2025-2026,2,(2025-2026-2)-3140420011030-05,3140420011030,电路原理A1,电气与自动化学院,水利水电学院,3.0,专业教育必修,大类平台,专业教育课程,2025,水文与水资源工程（碳中和试验班）,鲁海亮,副教授,120\102,48,,,,,,"1-12周6-7节2区5-003(221,多媒体)","1-12周8-9节2区A410(120,多媒体)",,,,,王羽,电路（上）,武汉大学出版社
2025-2026,2,(2025-2026-2)-3140420011030-05,3140420011030,电路原理A1,电气与自动化学院,水利水电学院,3.0,专业教育必修,大类平台,专业教育课程,2025,工科试验班（水利）,鲁海亮,副教授,120\102,48,,,,,,"1-12周6-7节2区5-003(221,多媒体)","1-12周8-9节2区A410(120,多媒体)",,,,,王羽,电路（上）,武汉大学出版社
2025-2026,2,(2025-2026-2)-2333640011135-01,2333640011135,恋爱必修课--两性健康与恋爱心理学,第一临床学院,,2.0,通识教育选修,一般通识,通识课程,wnj,,王雅琴,副主任医师,150\0,32,,,,,,,"1-11周11-13节1区4-204(220,多媒体)",,,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3350420011069-01,3350420011069,新能源与分布式发电,电气与自动化学院,电气与自动化学院,2.0,专业教育选修,专业课程,专业教育课程,2023,电气工程及其自动化,陈磊,副教授,84\0,32,,,,,,"1-8周6-7节2区A406(84,多媒体)",,"1-8周3-4节2区6-201(224,多媒体)",,,,,新能源与分布式发电技术,北京大学出版社
2025-2026,2,(2025-2026-2)-3350420011069-01,3350420011069,新能源与分布式发电,电气与自动化学院,电气与自动化学院,2.0,专业教育选修,专业课程,专业教育课程,2023,电气工程及其自动化（卓越工程师）,陈磊,副教授,84\0,32,,,,,,"1-8周6-7节2区A406(84,多媒体)",,"1-8周3-4节2区6-201(224,多媒体)",,,,,新能源与分布式发电技术,北京大学出版社
2025-2026,2,(2025-2026-2)-3350420011069-01,3350420011069,新能源与分布式发电,电气与自动化学院,电气与自动化学院,2.0,专业教育选修,专业课程,专业教育课程,2023,储能科学与工程,陈磊,副教授,84\0,32,,,,,,"1-8周6-7节2区A406(84,多媒体)",,"1-8周3-4节2区6-201(224,多媒体)",,,,,新能源与分布式发电技术,北京大学出版社
2025-2026,2,(2025-2026-2)-3350420011069-02,3350420011069,新能源与分布式发电,电气与自动化学院,电气与自动化学院,2.0,专业教育选修,专业课程,专业教育课程,2023,电气工程及其自动化,宋斌,副教授,84\0,32,,,,,,"1-8周6-7节2区A413(84,多媒体)",,"1-8周3-4节2区6-301(210,多媒体)",,,,,新能源与分布式发电技术, 北京大学出版社
2025-2026,2,(2025-2026-2)-3350420011069-02,3350420011069,新能源与分布式发电,电气与自动化学院,电气与自动化学院,2.0,专业教育选修,专业课程,专业教育课程,2023,电气工程及其自动化（卓越工程师）,宋斌,副教授,84\0,32,,,,,,"1-8周6-7节2区A413(84,多媒体)",,"1-8周3-4节2区6-301(210,多媒体)",,,,,新能源与分布式发电技术, 北京大学出版社
2025-2026,2,(2025-2026-2)-3350420011069-02,3350420011069,新能源与分布式发电,电气与自动化学院,电气与自动化学院,2.0,专业教育选修,专业课程,专业教育课程,2023,储能科学与工程,宋斌,副教授,84\0,32,,,,,,"1-8周6-7节2区A413(84,多媒体)",,"1-8周3-4节2区6-301(210,多媒体)",,,,,新能源与分布式发电技术, 北京大学出版社
2025-2026,2,(2025-2026-2)-3140420011030-11,3140420011030,电路原理A1,电气与自动化学院,土木建筑工程学院,3.0,专业教育必修,大类平台,专业教育课程,2025,工科试验班（数智建维与软件类）,龙志君,讲师,82\0,48,,,,,"1-12周1-2节2区5-406(115,多媒体)",,"1-12周11-12节2区A413(84,多媒体)",,,,,,电路（上）,武汉大学出版社
2025-2026,2,(2025-2026-2)-3140420011107-07,3140420011107,自动控制原理实验I,电气与自动化学院,电气与自动化学院,0.5,专业教育必修,大类平台,专业教育课程,2024,电气工程及其自动化（卓越工程师）,樊友平,教授,50\0,,,12,,,,,,,,,,司马莉萍,自动控制理论综合实验教程,中国电力出版社有限公司
2025-2026,2,(2025-2026-2)-3140420011107-07,3140420011107,自动控制原理实验I,电气与自动化学院,电气与自动化学院,0.5,专业教育必修,大类平台,专业教育课程,2024,储能科学与工程,樊友平,教授,50\0,,,12,,,,,,,,,,司马莉萍,自动控制理论综合实验教程,中国电力出版社有限公司
2025-2026,2,(2025-2026-2)-3350420011151-04,3350420011151,自动控制原理,电气与自动化学院,电气与自动化学院,2.5,专业教育必修,专业课程,专业教育课程,2024,电气工程及其自动化,彭晓涛,副教授,75\0,40,,,,,,,,"1-8周1-2节2区A507(78,多媒体)","1-8周3-5节2区A507(78,多媒体)",,,,自动控制原理,科学出版社 
2025-2026,2,(2025-2026-2)-3350420011151-06,3350420011151,自动控制原理,电气与自动化学院,电气与自动化学院,2.5,专业教育必修,专业课程,专业教育课程,2024,电气工程及其自动化,樊友平,教授,75\0,40,,,,,,,,"1-8周1-2节2区A503(80,多媒体)","1-8周3-5节2区A503(80,多媒体)",,,范建斌,自动控制原理,科学出版社 
2025-2026,2,(2025-2026-2)-3000420011060-01,3000420011060,电催化与储能导论,电气与自动化学院,电气与自动化学院,2.0,专业教育选修,专业课程,专业教育课程,2023,电气工程及其自动化,蒯春光,,30\0,32,,,,,,,"1-8周8-9节2区A219(42,多媒体)",,"1-8周1-2节2区A219(42,多媒体)",,,,电化学方法：原理和应用,化学工业出版社
2025-2026,2,(2025-2026-2)-3000420011060-01,3000420011060,电催化与储能导论,电气与自动化学院,电气与自动化学院,2.0,专业教育选修,专业课程,专业教育课程,2023,电气工程及其自动化（卓越工程师）,蒯春光,,30\0,32,,,,,,,"1-8周8-9节2区A219(42,多媒体)",,"1-8周1-2节2区A219(42,多媒体)",,,,电化学方法：原理和应用,化学工业出版社
2025-2026,2,(2025-2026-2)-3000420011060-01,3000420011060,电催化与储能导论,电气与自动化学院,电气与自动化学院,2.0,专业教育选修,专业课程,专业教育课程,2023,储能科学与工程,蒯春光,,30\0,32,,,,,,,"1-8周8-9节2区A219(42,多媒体)",,"1-8周1-2节2区A219(42,多媒体)",,,,电化学方法：原理和应用,化学工业出版社
2025-2026,2,(2025-2026-2)-3000420011017-01,3000420011017,工程电磁场实验,电气与自动化学院,电气与自动化学院,1.0,专业教育必修,核心课程,专业教育课程,2024,智能电气试验班（本研）,杜志叶,教授,70\0,,,24,,,,,"11-16周11-12节2区A504(78,多媒体)",,"11-16周8-9节2区A504(78,多媒体)",,,张亚东,工程电磁场分析,机械工业出版社
2025-2026,2,(2025-2026-2)-3000420011043-01,3000420011043,脉冲功率基础,电气与自动化学院,电气与自动化学院,2.0,专业教育选修,专业课程,专业教育课程,2023,电气工程及其自动化,张亚东,教授,60\0,32,,,,,,,"9-16周8-9节2区A114(66,多媒体)","9-16周11-12节2区A114(66,多媒体)",,,,裴学凯,高功率脉冲技术,华中科技大学出版社
2025-2026,2,(2025-2026-2)-3000420011043-01,3000420011043,脉冲功率基础,电气与自动化学院,电气与自动化学院,2.0,专业教育选修,专业课程,专业教育课程,2023,电气工程及其自动化（卓越工程师）,张亚东,教授,60\0,32,,,,,,,"9-16周8-9节2区A114(66,多媒体)","9-16周11-12节2区A114(66,多媒体)",,,,裴学凯,高功率脉冲技术,华中科技大学出版社
2025-2026,2,(2025-2026-2)-3000420011043-01,3000420011043,脉冲功率基础,电气与自动化学院,电气与自动化学院,2.0,专业教育选修,专业课程,专业教育课程,2023,储能科学与工程,张亚东,教授,60\0,32,,,,,,,"9-16周8-9节2区A114(66,多媒体)","9-16周11-12节2区A114(66,多媒体)",,,,裴学凯,高功率脉冲技术,华中科技大学出版社
2025-2026,2,(2025-2026-2)-3150420011034-11,3150420011034,高电压综合试验与实践（1）,电气与自动化学院,电气与自动化学院,1.0,专业教育必修,专业课程,专业教育课程,2023,电气工程及其自动化,郑宇,副教授,20\0,,,24,,,,,,,,,,王建平,自编讲义,无
2025-2026,2,(2025-2026-2)-3140420011107-02,3140420011107,自动控制原理实验I,电气与自动化学院,电气与自动化学院,0.5,专业教育必修,大类平台,专业教育课程,2024,电气工程及其自动化,黎雄,副教授,61\0,,,12,,,,,,,,,,司马莉萍,自动控制理论综合实验教程,中国电力出版社有限公司
2025-2026,2,(2025-2026-2)-3350420011151-03,3350420011151,自动控制原理,电气与自动化学院,电气与自动化学院,2.5,专业教育必修,专业课程,专业教育课程,2024,电气工程及其自动化,胡志坚,教授,75\0,40,,,,,,,"1-8周1-2节2区A504(78,多媒体)",,"1-8周3-5节2区A504(78,多媒体)",,,,自动控制原理,科学出版社 
2025-2026,2,(2025-2026-2)-3140420011013-01,3140420011013,电气工程基础（下）,电气与自动化学院,电气与自动化学院,2.0,专业教育必修,专业课程,专业教育课程,2023,电气工程及其自动化,蓝磊,教授,56\0,32,,,,,"1-8周3-4节2区A102(58,多媒体)",,,"1-8周6-7节2区A102(58,多媒体)",,,,刘晓川,电气工程基础（第四版）下册,中国电力出版社
2025-2026,2,(2025-2026-2)-3140420011013-03,3140420011013,电气工程基础（下）,电气与自动化学院,电气与自动化学院,2.0,专业教育必修,专业课程,专业教育课程,2023,电气工程及其自动化,吴军,教授,56\0,32,,,,,"1-8周3-4节2区A115(58,多媒体)",,"1-8周3-4节2区A115(58,多媒体)",,,,,,电气工程基础（下）,中国电力出版社
